agnurspsbupano_f, agbroadcrpallaha_f, agothcrop_ahacan_f, mangoes_yield_f, sorghum_yield_f, agfloerupano_f, agfrutmcdmakg_f, mushrooms_yield_f, agewesmateanooth_f, agvegecapsakgund_f, agfrutothorctnb_f, sugarcutcrushing_yield_f, canola_yield_f, agdaircales1_f, agfloers_aha_f, tomatoesmku_yield_f, agbeefcatlano_f, agfrutolivtnb_f, mandarins_yield_f, tomatoesmko_yield_f, aglambslt1ano_f, agfrutothnutttb_f, agfrutothstre_f, agcereal_ahamai_f, agdaircowsano_f, peasfreshmkt_yield_f, agvegeonioaha_f, agfrutapptba_f, apples_yield_f, cotirrigatedlint_yield_f, agfrutmacatba_f, agbewesothge1ano_f, potatotot_yield_f, agfrutothcittr_f, agcereal_atooat_f, capsicumtot_yield_f, agvegepotaatopro_f, agfrutothcittba_f, agvegepotaaha_f, agturfrollupano_f, agfrutchertnb_f, agvegecapsam2und_f, agvegebrocakg_f, agfrutmacnum_f, agnursery_ahaout_f, agnurseryundaha_f, agsheeplmbano_f, agfrutnecttnb_f, aglandtotlaha_f, agothcrop_akgpnt_f, pasture_hay_yield_f, agvegeletahaout_f, agvegecapsakg_f, othpulses_yield_f, agfrutavotba_f, agvegecaulato_f, agcottlintakgnon_f, agdairy_ano_f, agfrutnutotaha_f, ageggprodado_f, agothlstokanohld_f, agvegbeanaha_f, grapeswine_yield_f, agfrutothpomtba_f, agvegecornato_f, caulifloers_yield_f, agvegecabbato_f, agfrutaprtnb_f, agbeefcalle1_f, agpasceothsilato_f, agfrutpeactnb_f, agpigs_ano_f, agpigbsow_ano_f, agfrutothcittnb_f, agothcrop_ahaoil_f, agfrutnecttba_f, lettuceund_yield_f, agcereal_atooth_f, onions_yield_f, agpasthay_aha_f, agothcrop_atoopu_f, agfrutpeactba_f, agsugnfcrushaha_f, agvegecarrato_f, pineapples_yield_f, agvege_aha_f, aggrape_ahanyb_f, agbewes1ano_f, agcatldispano_f, agfrutalmnum_f, agfrutavotree_f, agfrutcherakg_f, agvegeletakgout_f, agfrutstrwahabea_f, oth_hay_yield_f, bananas_yield_f, agvegelettakg_f, cabbages_yield_f, agfloersundaha_f, agvegecaulaha_f, agfrutothorctba_f, agbeefallot_f, capsicumund_yield_f, agcottlintakgirr_f, agothcrop_atocan_f, cherries_yield_f, agvegepeasakgpro_f, agnurshvupano_f, aggrapewinahanyb_f, agcereal_atomai_f, agfrutmangtnb_f, lettucetot_yield_f, aglucrnhay_ato_f, aggrape_aha_f, agdairallot_f, agvegetomaahamko_f, agfrutmangakg_f, agfrutmantree_f, agvegemushakg_f, agfrutothnum_f, agvegepeasakgmkt_f, agvegecapsaha_f, rice_yield_f, agfrutotsttba_f, aggrapeothaha_f, dairy_totcattle_rt_f, agfrutmandakg_f, cereals_hay_yield_f, sweetcorn_yield_f, nectarines_yield_f, sa4_name16, agdairheifanogt2_f, agfrutorngtnb_f, agothsheepano_f, agfrutpineato_f, agfrutaprtre_f, cottontot_yield_f, potatoespro_yield_f, agpigbopigano_f, agfrutapplakg_f, brussels_yield_f, agvegemusham2_f, agothcrhayato_f, agfrutapptree_f, agvegepotaahamkt_f, broccoli_yield_f, peaches_yield_f, aggrapewinahabea_f, agvegemelnaha_f, agfrutalmoakg_f, agfrutnaspearakg_f, agvegecabbaha_f, agcereal_ahawht_f, carrots_yield_f, triticale_yield_f, agcottlintakg_f, aggrapeothahanyb_f, agothcrop_ahaopu_f, apricots_yield_f, agfrutalmotba_f, agcottpltdahairr_f, aggrapewinaha_f, lucerne_yield_f, capsicumout_yield_f, agvegebrusakg_f, agothpltryano_f, agfrutnectree_f, agpasthay_ato_f, agchickensanolay_f, agbeefcowsano_f, agfrutorngakg_f, ageweslmbmark_f, agfrutotsttnb_f, agfrutmandtre_f, oats_yield_f, agdairheifanole2_f, agewesmateanomer_f, agvegetomaato_f, agvegecapsahaout_f, agcroptotaha_f, agfrutothpomtr_f, agsugarcrsaha_f, meat_totcattle_rt_f, peanuts_yield_f, agfrutolivtba_f, agcereal_atosor_f, aglucrnhay_aha_f, tomatotot_yield_f, agothcrhayaha_f, agvegeletam2und_f, agfrutnaspeartnb_f, agpascrhayaha_f, agfrutothrahanyb_f, strawberries_yield_f, agothcrop_aha_f, agchickensanomea_f, agcereal_atotri_f, agvegepeasahamkt_f, agnursbpcupano_f, agfrutbanaato_f, agfrutoorcano_f, agfrutpeatree_f, agvegebrocaha_f, agsugarcrsato_f, agvegepumpaha_f, agorchardsaha_f, agfrutbanaaha_f, agfrutmandtnb_f, agfrutorcba_f, almonds_yield_f, agvegetomaam2mku_f, aggrape_ato_f, agothcrop_ahapnt_f, cotnonirriglint_yield_f, aggrapeothahabea_f, agcereal_atobar_f, agcereal_atowht_f, agcottpltdahanon_f, agfrutothpomtnb_f, agnursfnvupano_f, agvegepeasakg_f, grapestot_yield_f, agfrutpineaha_f, oranges_yield_f, agfrutpineahabea_f, agvegbeankg_f, agfrutavocakg_f, agvegetomaahamkt_f, agfrutstrwakg_f, agfrutapriakg_f, agpasceothsilaha_f, agfloers_ahaout_f, agvegepotaato_f, agothchickenano_f, agfrutalmotnb_f, agfrutothrahabea_f, aglambmarked_f, agvegepeasaha_f, agvegemelnato_f, agvegetomaahapro_f, agfrutorcnyb_f, agsugarcanaha_f, macadamias_yield_f, agfrutnasptree_f, agnursinplupano_f, agpascrhayato_f, agcereal_ahatri_f, agvegeletakgund_f, agfrutorngtba_f, agfrutorngtree_f, agbewesmerge1ano_f, aggrape_ahabea_f, agcottpltdaha_f, agcereal_aharic_f, agcerehay_ato_f, agcerehay_aha_f, agfrutchertree_f, agfrutavotnb_f, agfrutpechakg_f, agvegeonioato_f, silage_yield_f, agnurspropupano_f, agcereal_ahasor_f, peastot_yield_f, agfrutmacatnb_f, agcereal_ahabar_f, pears_yield_f, agfrutpineahanyb_f, agvegepeasahapro_f, agfrutnectakg_f, agfrutolitree_f, agvegepumpato_f, agvegepotaatomkt_f, agcereal_atoric_f, agfrutothnuttnb_f, agvegetomaaha_f, agnursery_aha_f, othroilseeds_yield_f, tomatoespro_yield_f, aggrapewinato_f, wheat_yield_f, olives_yield_f, peasprcs_yield_f, lettuceout_yield_f, agvegeoth_aha_f, agfrutolivakg_f, agvegebrusaha_f, grapesoth_yield_f, agfrutmangtba_f, agfrutapptnb_f, potatoesfresh_yield_f, aglambmarkmerano_f, agfrutothha_f, othcerealgrnseed_yield_f, agfrutorctot_f, agvegepotaahapro_f, agvegetomaatopro_f, aggrapeothato_f, melons_yield_f, agfrutmandtba_f, agvegetomaakgmku_f, agvegetomaatomkt_f, agvegetomaatomko_f, agvegecapsakgout_f, aglambmarkothano_f, avocados_yield_f, agfrutchertba_f, agcereal_ahaoat_f, maize_yield_f, agfrutbanaahabea_f, agvegecornaha_f, agfrutbanaahanyb_f, agfrutaprtba_f, beans_yield_f, sa4_code16, agothcrop_atooil_f, pumpkins_yield_f, agvegelettaha_f, agturf_aha_f, agfrutnaspeartba_f, agvegecarraha_f, barley_yield_f, agnursptsupano_f, agnurflwtuaha_f, agcereal_ahaoth_f
null,null,null,null,null,null,null,null,null,null,null,null,null,null,12,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,null,null,null,null,null,null,null,null,null,78,null,null,null,null,9,1,null,null,1469,null,null,null,null,null,1117,null,null,null,6,4124468,null,null,6,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40,null,null,null,null,129,null,57,null,null,null,null,1117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Perth - South West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,null,null,null,null,null,13,null,null,null,null,null,null,null,2,null,null,null,null,null,null,202799,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,6,null,null,1117,null,null,15,null,null,null,null,null,null,null,null,null,6,null,null,null,null,27595,null,null,null,null,8,null,19547,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2,null,null,null,null,null,null,null,103,null,56000,null,null,null,null,null,null,null,null,null,null,null,null,null,null,9,null,null,15,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1117,null,null,null,null,null,null,null,null,null,null,25,null,null,null,null,null,null,null,null,"507",null,null,null,15,null,10,null,null,36,null
null,5846335,838246,6,null,1230,621,null,1882037,null,null,null,2,2355,114,10,null,null,14,10,3679987,269,null,null,4405,null,null,22541,37,null,200,null,41,18643,990105,null,null,18643,150,null,null,null,2354787,null,92,null,11344803,2100,12278703,null,null,572,null,1,null,4947,null,10200,4105,17227648,null,2,8,null,57,38,5093,null,null,136742,2257,235102,25425,null,754,16520,5,759,60,null,314233,20363,null,29580,null,2214,47,6043497,null,null,14934,null,10004127,35,null,null,10036169,59,5,131,null,null,null,null,1284195,2,null,null,40,null,null,17531,2634,null,1537,0,49436,8481,null,482,null,null,null,null,14,null,1499304,6,13,9,"Western Australia - Wheat Belt",751,2158,1621318,null,null,null,null,209677,827265,1000,null,null,27680,150,7561,9,null,8,null,45367,87,3144959,52,1,null,7,239701,7,null,null,null,5,1000,104,5242,18620,null,783408,null,7790175,5031026,null,161475,3,1152,3148989,234,0,6026404,null,null,97,null,1168190,null,490,4,null,5842,null,null,7,38372,17794,null,null,null,null,null,null,22620,311,null,null,3695,null,56788,1703533,null,2513,null,null,null,7,2833807,5816540,null,null,null,null,8,null,24,null,3456,null,null,1331502,null,14186,109,6156,308985,null,null,4871957,null,139,59,462420,null,3,434,null,null,null,null,326718,328876,4994490,null,null,null,null,null,1162,4694,175679,null,10,null,null,null,104,1219001,105,null,null,145325,1557158,null,6156,null,213,60,93,1,4,null,2,9,null,17493,null,11074167,0,13,8481,5139,41,2976875,375,1,2165953,null,208,null,17,104687,25120,26,1,128,1895082,null,1162,379462,null,null,4,null,null,1669,"509",385,24,572,414,434,null,2,null,620,1403
6159,6740,398,10,4,237,null,null,4824,null,null,null,2,null,null,null,937001,null,null,null,1264,null,null,1639,null,null,null,null,null,null,null,null,null,null,90,null,null,null,null,21,null,null,null,null,null,null,9464,null,29237404,null,5,null,null,2,null,null,null,null,null,null,null,160,null,null,null,null,null,null,185214,null,null,null,null,null,501,null,null,998,null,1239,null,null,null,null,null,null,null,7138,937001,null,null,null,null,null,16,64,null,null,null,null,7703,201731,null,null,954,null,null,5686,null,15033,null,null,null,null,null,null,231866,22671,null,null,null,null,null,null,null,null,null,5,null,null,"Western Australia - Outback (North)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,537,null,null,null,null,null,null,null,null,null,null,null,null,null,4,null,null,null,null,null,null,550057,null,6282,null,null,2,null,1458,null,null,12439,null,null,100,null,null,2306,null,null,null,null,null,null,null,null,1472,null,null,null,4075,3900,7703,null,null,null,null,169,75,null,41867,null,null,null,null,null,null,1019,null,null,null,1637,null,null,null,null,null,440000,null,null,null,null,null,null,null,null,null,null,5695,null,16212,null,null,null,null,null,1564,null,null,null,null,null,5342,null,null,null,1019,208,null,null,null,null,44,13759,624,null,null,353,null,null,null,null,null,null,null,null,null,null,null,1,null,null,2,null,null,null,null,null,null,null,22671,null,null,1305,null,1,41867,null,null,null,30,null,null,null,null,null,4390,null,null,41,9,61,null,14,null,2750,"510",657,20,null,null,null,null,3,5923,49,996
null,2746728,505130,51,null,null,null,null,null,null,null,null,1,840,null,null,414837,null,null,20,null,null,null,null,1400,null,45,8382,32,null,null,null,null,5866,null,null,null,2692,null,null,null,null,47,null,1,2,null,null,41681525,null,4,null,null,2,null,69,null,3150,null,4091363,null,5,null,null,257,null,14,null,null,10713,null,6153,609,3174,null,null,null,8340,49,1087,null,null,null,null,null,null,null,null,417987,null,null,null,null,null,null,22,null,15,0,2,null,null,null,null,754133,null,null,null,null,null,1753,null,160,null,450,179,3493572,69825,null,null,null,null,null,null,null,1,null,6,5,null,"Western Australia - Outback (South)",20,null,null,null,null,null,null,5544,267725,null,null,2422,8382,null,50,null,null,153,null,null,1,1531951,null,3,null,null,null,null,null,null,null,4,null,null,41,null,null,190425,238966,null,null,null,null,null,440,null,3662,null,2764557,null,null,99,null,null,null,40,20,611,null,null,null,2,null,3345,null,3855,null,null,2342,null,null,1,null,null,null,162,null,null,1,null,null,null,null,null,null,3825355,null,null,null,null,17,null,17,null,null,null,179,null,null,864,null,null,null,null,0,854933,null,3423,null,4928,null,null,null,null,null,null,null,221,221,null,null,null,null,null,null,null,null,null,2181,12,124,null,null,null,null,null,null,null,null,null,null,null,null,null,179,3,null,null,null,3,11,null,null,null,null,null,17,68072,null,null,null,2,null,null,null,null,null,22,null,null,3662,3662,null,null,null,null,null,null,108,54,54,null,1473,"511",null,21,null,null,null,null,3,null,null,5503
1,null,null,null,null,66,null,null,10439,null,null,null,null,394,null,null,null,null,null,null,17576,2700,null,null,910,null,null,1618,1,null,null,9966,39,null,314,null,null,null,131,121,null,null,null,null,null,5,null,1375,50006,null,null,99,null,null,null,null,null,1600,182,null,null,null,null,null,null,null,null,19375,545,5162,1375,1203,214,null,null,110,null,null,null,450,null,133,null,null,null,557,18,35178,null,null,null,9167,null,12,null,null,null,null,null,null,null,null,null,null,null,2,null,null,18,null,null,null,null,253,53,null,null,null,null,2700,null,null,null,null,null,41,null,5,null,2,"Hobart",null,null,null,null,103788,null,null,989,1833,null,null,null,3910,131,null,1,235,null,null,458,null,88,null,9,null,null,null,7,null,null,253,4,null,null,null,1485,null,null,null,null,null,null,null,null,243,9153,null,null,null,null,null,null,null,5493,null,null,null,null,null,1485,626,null,11538,null,null,73,null,null,null,null,1508,null,null,null,166,null,null,100770,null,null,1711,null,null,null,null,268,null,null,17,null,null,null,null,null,null,null,null,137510,607375,339,null,5069,5027,null,4,20795,null,null,null,null,null,null,1921,45,2739,8,null,null,null,null,235,null,null,392,86,23125,null,138,null,15,24,null,null,null,null,1,null,null,183,5493,null,5069,null,null,null,null,null,null,1711,null,0,null,null,327,2354,null,null,null,2292,39,null,4,null,143931,null,null,null,null,null,null,null,null,null,12497,null,5867,192,null,null,null,null,84413,null,"601",null,null,99,null,435,null,null,368,null,null
7,null,null,null,null,1546,null,38,353820,null,null,null,2,17938,null,null,229436,null,null,null,282850,11306,null,50,60876,4105,317,651826,17,null,null,290603,52,null,null,null,129030,null,2708,null,29586,null,1283078,null,48,null,1008668,null,686790,null,4,null,null,null,null,null,null,101815,608,null,null,346,8,null,null,null,null,null,68584,68982,null,null,null,null,null,null,null,28,63,24479,null,null,null,null,null,6261,24,594535,331250,null,null,286092,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,489,24,667,null,null,null,null,2256,null,null,null,1849,18922,85200,null,null,null,null,31,null,6,null,null,"Launceston and North East",3990,null,131283,null,null,null,54,null,11141329,null,48,null,827667,null,10863,null,null,null,null,1276125,null,null,82,3,null,null,null,null,null,null,null,6,null,null,null,null,108164,null,111764,null,547102,null,null,3,16755,193282,null,null,70239,null,null,69,null,null,null,2939,null,null,null,null,28547,36,55300,null,null,163,21,185,null,null,null,118,null,null,451,null,null,763630,null,null,null,null,null,null,null,null,null,null,null,null,8,null,null,null,4090508,null,null,null,null,10700,null,140291,3229,null,83,591963,2486,null,null,213042,null,null,32271,null,135392,54,null,null,null,303932,null,null,null,4831,817,97812,null,null,19842,6,792,null,5644,null,null,40,null,2465,null,null,null,null,null,7616,null,56,null,null,null,5,null,5657,null,102,null,null,null,null,175841,37,177570,119,0,976671,2407,null,null,null,null,null,null,null,null,414394,null,68226,null,null,null,null,null,null,11830,"602",null,20,null,null,32271,null,4,24,null,184
91019,null,null,null,null,198,null,null,198848,null,null,null,null,null,null,null,35204,29,null,null,254763,null,null,null,null,1000,null,null,17,null,null,null,24,null,null,null,null,null,44,null,null,null,null,null,91,1,947199,null,473155,null,4,null,null,null,null,null,null,null,1848,null,null,null,8,null,null,null,null,null,null,null,null,274,43,null,34,null,null,null,null,3421,null,null,null,null,null,81,null,544450,41506,null,null,3302818,null,null,null,null,null,null,null,null,null,null,null,null,null,8,null,3,null,null,null,null,null,null,303,null,null,null,null,null,500,null,null,null,null,null,null,3,null,null,"South East",24,null,147987,null,null,null,null,230,null,null,null,null,966557,44,null,null,null,null,null,9,null,null,null,null,null,null,null,4,null,null,null,4,null,null,23,null,14315,null,21410,null,450127,null,18,1,null,251279,null,null,15176,null,null,85,null,1880,null,null,null,null,null,null,4853,1,23333,null,null,null,1,null,null,null,null,null,null,null,1761,null,18,1438760,null,null,null,null,null,null,null,null,null,null,1500,500,8,null,null,null,null,null,null,null,null,null,null,1044,6,null,null,423124,1,null,null,177386,null,null,9,null,20389,null,null,null,null,417535,null,null,null,764,253,509948,null,null,null,13,229,null,1000,null,null,1,null,null,null,1909,null,1044,null,null,null,91,2,null,null,null,19,null,null,36,36386,null,null,null,null,24,211843,null,null,1616145,null,null,null,null,null,null,null,null,null,211281,null,436046,null,null,null,null,null,null,null,"603",53,null,null,null,9,null,null,45,null,null
4041,null,35,null,null,8518,null,38,null,591296,null,null,5,26210,null,27,null,null,null,null,null,null,null,23,94832,null,null,272589,26,null,null,null,58,null,167,211177,null,null,null,null,null,28000,null,null,null,3,61669,null,270336,null,null,null,591296,null,6686,null,null,159091,380,66723,null,null,4,null,null,23,445,null,48281,108867,null,426,65,null,1387,null,null,25,53,15899,null,null,null,40349,null,6626,29,29225,353589,null,6977,170143,null,null,2,null,null,18,6,null,null,null,21,null,161,3,null,58,29,481,null,null,3585,48,null,null,null,null,866098,7,null,3,null,null,null,45,null,null,null,null,"West and North West",null,null,null,null,null,null,60,361,7208799,16714,22500,1078,279811,null,11555,null,19,null,null,null,null,null,60,9,null,null,null,null,null,null,48,null,null,867028,727,null,null,4266,null,null,null,null,null,4,26631,1458,340,null,45235,null,null,55,null,null,null,384,270,599,null,100,17328,16,null,null,null,256,null,351,null,null,null,null,null,40,284,null,null,337082,null,12620,79,null,null,null,null,null,null,null,60,null,4,null,null,null,null,115070,1,null,null,15325,null,null,32563,null,81,null,null,null,null,7620,null,null,null,null,null,28,null,null,null,null,19,null,null,2308,446,48835,291,null,null,7,434,null,7504,null,null,23,null,null,null,null,220,7149,null,7,1,null,2,null,79,8,null,7504,null,520,null,52,null,null,7222,null,2609,97,1,344702,null,null,null,null,null,340200,340,null,null,null,17,48835,47,null,null,null,null,null,11711,"604",2637,5,null,null,null,674,5,452,null,17
53,84,null,40,null,223,null,null,null,null,72,null,null,null,9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5909,null,null,null,2874,null,3755,null,null,null,null,31,7,null,null,null,null,null,null,null,null,null,null,null,null,2309,null,null,null,null,null,null,null,null,null,668,null,null,null,null,3035,null,null,null,null,null,null,null,null,null,null,51,344,null,null,null,null,null,null,null,null,2,null,null,null,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10182319,293445,null,null,null,null,null,null,null,null,null,null,null,null,"Darwin",null,null,null,1211,null,null,null,null,null,null,null,1728,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21,null,837,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,818,null,null,978,null,null,84,null,null,null,null,null,null,null,null,null,9,2157,19,null,257643,null,null,null,null,null,null,null,null,null,null,9,null,null,57,null,24,null,null,null,null,null,null,9,null,null,null,76,null,null,null,null,null,null,null,null,30,2564,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,252,null,null,null,null,null,34,null,null,null,118,null,null,null,null,38,null,null,null,null,null,null,null,null,null,null,null,252490,null,null,null,76,null,301706,null,null,null,23,null,null,null,null,null,null,null,null,null,null,null,null,19,null,null,"701",null,13,null,22,null,null,null,290,69,null
null,null,null,42,0,null,null,null,27,null,1890,null,null,null,null,null,2183366,null,null,4,27,null,null,394,null,null,null,null,null,null,null,54,null,null,null,269,null,null,null,null,null,null,null,null,2,1,83,null,54484200,null,5,null,2859,1,null,null,null,null,819,null,6085,null,null,null,null,null,2,null,386667,6551,null,48,3,null,8,null,1,null,63,11369,null,null,null,null,null,1205,null,54,2183366,null,null,null,null,null,5,1,9560,10,null,null,1890,487309,null,null,null,null,null,null,null,544,null,5108,13,165,null,1,3853758,106598,null,null,null,null,5,null,165,null,null,null,null,null,"Northern Territory - Outback",null,null,3,null,null,null,null,45,null,null,null,null,null,null,null,null,null,1078,null,null,0,null,null,null,null,null,null,null,null,null,null,10,269,null,56,null,55398,23,1309390,null,27,null,null,null,null,null,null,null,17147,null,null,100,null,null,0,1,null,null,18716,null,12607,null,null,192,null,null,null,null,5,3779,null,null,null,null,813,5,null,93900,null,19890,1499,null,null,165,null,null,null,null,null,null,9,null,null,null,null,null,3,null,null,1293,null,null,null,null,null,20,null,43402,null,null,null,null,null,null,61934,null,9560,null,null,null,165,null,71,null,null,null,null,null,null,5,1,112,null,null,null,null,null,null,null,null,null,null,337,null,3,3,1,null,null,null,null,null,null,null,null,null,9,92010,null,null,null,null,0,110377,null,null,1499,40,null,null,null,2,2859,20,null,null,null,1,5,null,null,null,null,"702",4,16,2,null,null,null,null,null,3,null
null,null,3,null,null,null,null,null,6491,null,null,null,0,null,null,null,5389,null,null,null,15763,null,null,null,null,null,null,null,null,null,null,2695,null,null,null,null,null,null,null,null,null,null,null,null,null,null,52926,null,24971,null,6,null,null,null,null,null,null,null,null,160000,245,null,11,null,null,null,null,null,1572,null,null,null,null,null,null,null,null,null,null,25,null,null,null,null,null,null,0,26393,5389,null,null,null,null,null,null,null,null,null,null,null,null,376,null,null,0,null,null,null,0,null,null,null,null,9,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"Australian Capital Territory",null,null,10770,null,null,null,null,null,null,null,null,null,null,null,null,null,9,null,null,null,null,10,null,null,null,null,null,null,null,null,9,null,null,null,null,null,150,7500,3440,null,23585,null,null,null,null,17094,null,null,198,null,null,100,null,null,null,null,null,null,null,null,25,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,96,null,null,null,20,35,null,null,null,null,11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19971,null,null,null,null,null,null,null,null,150,null,null,null,null,23698,9,null,null,null,null,null,null,null,null,null,null,null,null,null,7,null,null,null,null,null,null,null,null,null,null,null,null,null,96,4,null,null,null,null,null,null,null,null,null,null,13401,null,null,null,null,null,null,null,null,null,null,null,null,6570,null,null,null,null,null,null,null,null,null,"801",null,null,null,null,null,null,3,10322,null,null
