exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_2_p, households_by_type_census_lone_person_households_num, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_4_a, dwelling_structure_private_dwellings_census_separate_house_num, families_type_census_couple_families_non_dependent_children_num, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_nvr_mrrd_pc, method_travel_work_employed_persons_census_used_one_total_num, tenure_type_occupied_private_dwellings_census_owned_mortgage_pc, sa2_name_2016, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_3_p, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_nm, dwlng_strce_prvte_dwlngs_cns_smi_dtch_rw_trce_hse_twnhse_etc_nm, method_travel_work_employed_persons_census_worked_home_num, acs_intr_hme_ocpd_prvte_dwlngs_cns_to_at_indqtly_dscrb_std_pc, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_spre_nm, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_crd_chldchldrn_pc, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_edctn_ocptn, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_mrrge_nm, rent_mortgage_payments_census_average_monthly_household_payment, method_travel_work_employed_persons_census_used_one_truck_num, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_rltve_dsvntg, method_travel_work_employed_persons_census_used_one_train_num, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_qrtle_1_d, dwelling_structure_private_dwellings_census_stated_num, gftsdntns_rprtd_txpyrs_yr_endd_30_jne_prsns_nm, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_cr_pssngr_nm, households_by_type_census_total_households_num, method_travel_work_employed_persons_census_total_used_one, families_by_type_census_couple_families_without_children_num, hshld_strss_cnss_hshlds_mrtgge_rpymnts_lss_30pc_incme_pc, mthd_trvl_wrk_emplyd_prsn_cns_ple_trvld_to_cr_drv_psngr_nm, scl_mrtl_st_rgstd_prsn_agd_15_yrs_cns_mrd_de_fcto_mrge_nm, method_travel_work_employed_persons_census_used_one_taxi_num, dwelling_structure_private_dwellings_census_flat_apartment_num, method_travel_work_employed_persons_census_used_one_bicycle_num, commuting_work_census_average_distance_to_place_kms, fmls_type_cnss_one_prnt_chldrn_15_andr_dpndnt_stdnts_nm, hshld_strss_cnss_hshlds_rnt_pymnts_grtr_eql_30pc_incme_pc, exprmntl_indx_hsld_advntge_dsvntge_ihd_cns_hsld_asgnd_scre_nt_a, hshld_strss_cnss_hshlds_mrtgge_rpymnts_grtr_eql_30pc_incme_pc, mthd_trvl_wrk_emplyd_prsns_cnss_pple_trvlld_to_pblc_trnsprt_nm, method_travel_work_employed_persons_census_used_one_tram_num, homelessness_census_homeless_rate_per_10000_persons_rate, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_sttd_pc, giftsdonations_reported_by_taxpayers_year_ended_30_june_median, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rltve_dsvn, accss_intrnt_hme_occpd_prvte_dwllngs_cnss_accssd_dwllng_pc, unpd_chld_cre_prprtn_prsns_agd_15_yrs_cnss_prvde_pc, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_wdwd_pc, tenure_type_occupied_private_dwellings_census_owned_outright_pc, method_travel_work_employed_persons_census_used_one_ferry_num, households_by_type_census_average_household_size_no_of_persons, cmmtng_wrk_cnss_avrge_dstnce_plce_usl_rsdnce_kms, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_mrrd_pc, method_travel_work_employed_persons_census_used_one_bus_num, tenure_type_occupied_private_dwellings_census_stated_pc, hsng_stblty_occpd_prvte_dwllngs_cnss_extra_bdrms_ndd_nm, families_by_type_census_average_family_size_no_of_persons, unpd_wrk_prsns_agd_15_yrs_cnss_undrtkng_vlntry_orgnstn_grp_pc, commuting_work_census_median_distance_place_usual_residence_kms, fmls_type_cnss_cple_chldrn_15_andr_dpndnt_stdnts_nm, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_mtr_bksctr_nm, hsng_stblty_occpd_prvte_dwllngs_cnss_bdrms_ndd_spre_nm, method_travel_work_employed_persons_census_go_to_num, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_sprtd_pc, tenure_type_occupied_private_dwellings_census_tenure_type_pc, dwelling_structure_private_dwellings_census_other_dwelling_num, unpd_wrk_prsns_agd_15_yrs_cnss_prvdd_assstnce_prsn_a_dsblty_pc, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rsc_ir, method_travel_work_employed_persons_census_used_one_walked_num, method_travel_work_employed_persons_census_used_one_method_num, families_by_type_census_total_families_num, tenure_type_occupied_private_dwellings_census_rented_pc, households_by_type_census_group_households_num, rnt_mrtgge_pymnts_cnss_avrge_mnthly_hshld_rntl_pymnt, families_type_census_one_parent_non_dependent_children_num, count_children_family_census_average_number_of_all_in_num, method_travel_work_employed_persons_census_of_stated_num, sco_ecnm_indxs_ars_sfa_ste_dcls_cns_dcle_rnkg_indx_rltve_advntg, unpd_chld_cre_prtn_prsn_agd_15_yrs_cns_crd_chldrn_and_pc, households_by_type_census_family_households_num, sa2_maincode_2016, dwelling_structure_private_dwellings_census_total_num, method_travel_work_employed_persons_census_total_employed_num, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_rltve_advn, scl_mrtl_stts_rgstrd_prsns_agd_15_yrs_cnss_dvrcd_pc, families_by_type_census_other_families_num, acs_intr_hme_ocpd_prvte_dwlngs_cns_acsd_dwlng_pc, commuting_work_census_median_distance_to_place_kms, hshld_strss_cnss_hshlds_rnt_pymnts_lss_30pc_incme_pc, sco_ecnmc_indxs_ars_sfa_stte_dcls_cnss_dcle_rnkng_indx_rsrcs_ir, unpd_chld_cre_prtn_prsn_agd_15_yrs_cns_crd_chldrn_pc, mthd_trvl_wrk_emplyd_prsns_cnss_usd_one_cr_drvr_nm, yr, sco_ecnm_indxs_ars_sfa_astrl_dcls_cns_dcle_rnkg_indx_edctn_ocpt
null,null,null,null,null,null,null,null,"Chirnside Park",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2372,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,81,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"211051275",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Healesville - Yarra Glen",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2342,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"211051276",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Lilydale - Coldstream",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4135,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,70,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"211051278",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Monbulk - Silvan",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1136,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"211051279",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Montrose",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1458,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"211051280",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Narre Warren - North East",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2905,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212021455",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Pakenham - North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4116,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,70,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212011291",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Mount Evelyn",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2162,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,70,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"211051283",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Berwick - North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5005,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,95,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212021293",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Berwick - South",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5406,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212021294",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Doveton",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1511,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212021295",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Upwey - Tecoma",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2388,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"211051284",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Wandin - Seville",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1619,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,70,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"211051285",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Hallam",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1883,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212021297",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Narre Warren North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1550,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212021299",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Pakenham - South",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5949,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,60,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212011292",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Endeavour Hills - North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2335,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212021453",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Narre Warren - South West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2784,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,95,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212021456",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Cranbourne",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3777,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,95,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212031300",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Cranbourne North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4475,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212031302",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Hampton Park - Lynbrook",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4747,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212031305",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Lynbrook - Lyndhurst",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3259,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,113,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212031306",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Pearcedale - Tooradin",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1582,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,80,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212031308",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Narre Warren South (East)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2830,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212031457",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Narre Warren South (West)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3272,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212031458",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Clarinda - Oakleigh South",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2117,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212041309",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Clayton South",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1907,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212041310",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Dandenong",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4344,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212041311",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Dandenong North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3804,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212041312",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Dingley Village",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2074,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212041313",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Noble Park North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1305,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212041316",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Keysborough",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5085,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212041314",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Springvale",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2950,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212041317",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Springvale South",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2023,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,96,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212041318",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Noble Park - East",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2093,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212041459",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Noble Park - West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2994,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212041460",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Ashwood - Chadstone",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3506,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,127,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212051319",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Wheelers Hill",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4002,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212051327",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Clayton",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2243,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212051320",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Glen Waverley - East",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3820,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,146,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212051321",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Glen Waverley - West",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3216,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,145,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212051322",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Mount Waverley - North",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2986,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212051323",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Ardeer - Albion",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1392,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213011328",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Mount Waverley - South",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3775,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,150,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212051324",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Mulgrave",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3595,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,107,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212051325",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Oakleigh - Huntingdale",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4039,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,118,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"212051326",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Cairnlea",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2154,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213011329",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Delahey",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,1831,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213011331",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Sydenham",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2582,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213011339",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Keilor Downs",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2920,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213011332",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Deer Park - Derrimut",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,5214,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213011330",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Taylors Lakes",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,4571,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213011340",null,null,null,null,null,null,null,null,null,null,null,2018,null
null,null,null,null,null,null,null,null,"Kings Park (Vic.)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,2519,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,100,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,"213011333",null,null,null,null,null,null,null,null,null,null,null,2018,null
